SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004841899.1,ENSRNOP00000063348,71.24,76.25,0.1996,0.7117,0.28041
XP_004835500.1,ENSRNOP00000036814,61.26,69.86,0.2985,1.0653,0.28023
XP_004849277.1,ENSRNOP00000038869,70.28,75.63,0.2081,0.7432,0.28001
XP_004852964.1,ENSRNOP00000038545,76.12,81.02,0.1469,0.5248,0.27992
XP_004849436.1,ENSRNOP00000025194,79.46,81.89,0.1334,0.4771,0.27969
XP_004858302.1,ENSRNOP00000039834,56.34,66.67,0.3376,1.2082,0.2794
XP_004857133.1,ENSRNOP00000019410,79.99,83.32,0.1216,0.4355,0.27929
XP_004837897.1,ENSRNOP00000010120,71.63,77.22,0.1804,0.6459,0.27927
XP_004840605.1,ENSRNOP00000034323,54.08,63.66,0.4495,1.6101,0.27918
XP_004858760.1,ENSRNOP00000006141,73.24,79.38,0.1641,0.588,0.27908
XP_004873555.1,ENSRNOP00000004504,77.03,83.46,0.1299,0.4659,0.27891
XP_004854487.1,ENSRNOP00000025989,67,70.08,0.2736,0.9811,0.27886
XP_004836111.1,ENSRNOP00000036312,77.49,81.46,0.1385,0.4969,0.27878
XP_004850802.1,ENSRNOP00000017619,66.58,73.53,0.2629,0.9442,0.27843
XP_004851776.1,ENSRNOP00000023219,73.95,76.47,0.1908,0.6853,0.27838
XP_004868023.1,ENSRNOP00000064456,74.71,78.67,0.1666,0.5985,0.27835
XP_004864924.1,ENSRNOP00000062154,69.95,76.84,0.1917,0.6889,0.27832
XP_004844781.1,ENSRNOP00000037567,72.87,78.54,0.1694,0.6089,0.27819
XP_004868424.1,ENSRNOP00000026108,67.98,74.22,0.218,0.7836,0.27816
XP_004835224.1,ENSRNOP00000038377,75.32,79.18,0.16,0.5756,0.278
XP_004846102.1,ENSRNOP00000066415,53.97,60.32,0.4442,1.5981,0.27793
XP_004865300.1,ENSRNOP00000005148,73.57,78.11,0.1786,0.6429,0.27787
XP_004834713.1,ENSRNOP00000065070,81.9,84.48,0.1166,0.4196,0.27784
XP_004854682.1,ENSRNOP00000027145,70.92,78.25,0.1777,0.6399,0.27769
XP_004852306.1,ENSRNOP00000025507,79.44,85.36,0.1105,0.3979,0.27759
XP_004838835.1,ENSRNOP00000027967,72.49,77.02,0.1824,0.6578,0.2773
XP_004857179.1,ENSRNOP00000043157,71.56,77.5,0.1948,0.7024,0.27728
XP_004842642.1,ENSRNOP00000033206,65.93,73.99,0.2436,0.8788,0.27722
XP_004866586.1,ENSRNOP00000026574,70,74.78,0.2123,0.7658,0.27721
XP_004844680.1,ENSRNOP00000054799,74.16,78.65,0.1733,0.6253,0.2772
XP_004835316.1,ENSRNOP00000063400,77.73,83.33,0.1284,0.4633,0.27716
XP_004850461.1,ENSRNOP00000064116,71.47,77.06,0.1896,0.6843,0.27713
XP_004853413.1,ENSRNOP00000005353,75.08,78.91,0.1638,0.5912,0.27713
XP_004844296.1,ENSRNOP00000036081,76.17,80.92,0.1486,0.5363,0.27705
XP_004866647.1,ENSRNOP00000045075,58.82,69.99,0.2909,1.0503,0.27702
XP_004865328.1,ENSRNOP00000044086,75.71,81.78,0.1395,0.5038,0.27683
XP_004864158.1,ENSRNOP00000026430,75.17,79.11,0.1598,0.5775,0.27675
XP_004865543.1,ENSRNOP00000062768,61.69,69.09,0.2838,1.028,0.27608
XP_004874599.1,ENSRNOP00000029878,71.31,75.31,0.1977,0.7166,0.27582
XP_004848602.1,ENSRNOP00000016190,76.57,79.66,0.1537,0.558,0.2755
XP_004870669.1,ENSRNOP00000009171,71.7,80.29,0.1664,0.6043,0.27533
XP_004867040.1,ENSRNOP00000035119,60.81,68.11,0.3042,1.1051,0.27528
XP_004851575.1,ENSRNOP00000016254,73.97,78.39,0.1715,0.6234,0.27514
XP_004848736.1,ENSRNOP00000014319,75.78,79.56,0.1587,0.5768,0.27506
XP_004857991.1,ENSRNOP00000042228,75.51,79.03,0.1638,0.5955,0.27505
XP_004862325.1,ENSRNOP00000012038,68.21,74.52,0.2203,0.801,0.27499
XP_004835381.1,ENSRNOP00000033638,73.74,79.2,0.1618,0.5883,0.27498
XP_004856848.1,ENSRNOP00000056528,63.07,73.48,0.2391,0.87,0.27478
XP_004864520.1,ENSRNOP00000065080,66.52,75.55,0.2058,0.7492,0.27471
XP_004838164.1,ENSRNOP00000009241,72.08,77.02,0.1819,0.6626,0.27453
XP_004856841.1,ENSRNOP00000011582,80.92,83.47,0.1186,0.4324,0.27439
XP_004850816.1,ENSRNOP00000065513,78.62,80.92,0.141,0.514,0.27433
XP_004866829.1,ENSRNOP00000043107,66.79,74.73,0.2217,0.8085,0.27428
XP_004849700.1,ENSRNOP00000010454,50,62.76,0.4228,1.5421,0.27421
XP_004858045.1,ENSRNOP00000002198,72.73,78.95,0.1773,0.6465,0.2742
XP_004837644.1,ENSRNOP00000053020,71.87,77.81,0.1824,0.6653,0.27412
XP_004843536.1,ENSRNOP00000054550,64.63,70.05,0.2833,1.0341,0.27398
XP_004853179.1,ENSRNOP00000022113,78.91,80.5,0.1479,0.5401,0.27381
XP_004839516.1,ENSRNOP00000045568,81.47,83.28,0.1209,0.4417,0.27378
XP_004862640.1,ENSRNOP00000063803,77.6,82.14,0.1337,0.4886,0.27362
XP_004871390.1,ENSRNOP00000028058,67.19,75.71,0.2265,0.8278,0.27361
XP_004848213.1,ENSRNOP00000022836,80.6,83.36,0.1201,0.4389,0.27359
XP_004861211.1,ENSRNOP00000054845,74.43,78.52,0.1696,0.6203,0.2735
XP_004874642.1,ENSRNOP00000016839,76.16,80.19,0.1505,0.5505,0.27336
XP_004834091.1,ENSRNOP00000066155,74.93,76.95,0.1819,0.6655,0.27332
XP_004866088.1,ENSRNOP00000010549,63.03,72.08,0.2567,0.9395,0.27327
XP_004870999.1,ENSRNOP00000010792,67.38,73.98,0.2217,0.8115,0.27321
XP_004846111.1,ENSRNOP00000016553,72.53,77.2,0.1936,0.7087,0.2732
XP_004835080.1,ENSRNOP00000052950,39.13,51.59,0.6369,2.3337,0.2729
XP_004865026.1,ENSRNOP00000012915,77.48,82.49,0.1292,0.4738,0.27277
XP_004865351.1,ENSRNOP00000029955,72.7,78.37,0.1728,0.6335,0.27275
XP_004871292.1,ENSRNOP00000015471,75.43,79.67,0.1582,0.5801,0.27275
XP_004843423.1,ENSRNOP00000015627,79.35,83.45,0.1184,0.434,0.27272
XP_004857854.1,ENSRNOP00000008289,70.49,72.31,0.2426,0.8897,0.27265
XP_004858071.1,ENSRNOP00000037343,64.3,72.66,0.2398,0.8796,0.27263
XP_004864440.1,ENSRNOP00000035860,75.93,80.47,0.1555,0.5705,0.27253
XP_004856325.1,ENSRNOP00000023591,76.43,80.59,0.147,0.5394,0.27249
XP_004869712.1,ENSRNOP00000010229,64.06,67.53,0.3206,1.1767,0.27246
XP_004855049.1,ENSRNOP00000017785,76.87,80.5,0.1445,0.5303,0.27241
XP_004847689.1,ENSRNOP00000001979,80.4,84.49,0.1134,0.4167,0.27214
XP_004854339.1,ENSRNOP00000027128,73.96,78.62,0.1664,0.6118,0.27194
XP_004858405.1,ENSRNOP00000028098,78.35,81.53,0.1377,0.5063,0.27191
XP_004835367.1,ENSRNOP00000037747,71.75,78.55,0.1789,0.6584,0.27171
XP_004847575.1,ENSRNOP00000015894,73.3,78.98,0.1659,0.6107,0.27169
XP_004838579.1,ENSRNOP00000022133,72.97,78.75,0.1752,0.6449,0.27167
XP_004841948.1,ENSRNOP00000023977,63.24,69.46,0.2798,1.0302,0.27155
XP_004851643.1,ENSRNOP00000006670,67.13,71.68,0.2417,0.8903,0.27154
XP_004854305.1,ENSRNOP00000048781,70.5,76.44,0.1927,0.7097,0.27154
XP_004845317.1,ENSRNOP00000019806,64.81,71.85,0.2455,0.9044,0.27149
XP_004870101.1,ENSRNOP00000019931,76.1,80.11,0.1485,0.5473,0.27139
XP_004851264.1,ENSRNOP00000065356,80.41,81.41,0.1372,0.5055,0.27137
XP_004873060.1,ENSRNOP00000027960,68.5,75.5,0.2192,0.808,0.27133
XP_004840399.1,ENSRNOP00000031199,62.46,69.94,0.2813,1.0367,0.2713
XP_004841568.1,ENSRNOP00000046647,71.85,77.63,0.1763,0.6498,0.27127
XP_004839310.1,ENSRNOP00000039021,73.16,78.76,0.1711,0.6308,0.27118
XP_004852145.1,ENSRNOP00000051747,68.6,76.42,0.2007,0.7401,0.27113
XP_004859725.1,ENSRNOP00000005807,74.68,80.45,0.1519,0.5605,0.27102
XP_004849889.1,ENSRNOP00000002748,72.18,76.34,0.1913,0.7058,0.27099
XP_004862338.1,ENSRNOP00000059229,71.59,75.38,0.2031,0.7494,0.27099
XP_004838182.1,ENSRNOP00000048978,67.08,76.95,0.2007,0.7407,0.27092
XP_004851746.1,ENSRNOP00000066496,67.92,76,0.2074,0.7669,0.27047
XP_004848499.1,ENSRNOP00000067083,59.75,69.29,0.2918,1.079,0.27042
XP_004839261.1,ENSRNOP00000063910,81.25,84.44,0.1076,0.398,0.2704
XP_004835471.1,ENSRNOP00000037349,79.91,82.01,0.1315,0.4866,0.2703
XP_004857811.1,ENSRNOP00000048045,70.95,78.67,0.183,0.6775,0.27018
XP_004853155.1,ENSRNOP00000029147,71.28,74.11,0.2075,0.7679,0.27017
XP_004866103.1,ENSRNOP00000056752,61.57,69.45,0.2902,1.0745,0.27007
XP_004845227.1,ENSRNOP00000029498,69.82,75.15,0.2014,0.7463,0.26994
XP_004860413.1,ENSRNOP00000058731,63.76,70.35,0.2662,0.987,0.26968
XP_004849375.1,ENSRNOP00000057009,58.54,64.72,0.3928,1.4566,0.26965
XP_004843639.1,ENSRNOP00000035334,76.97,79.6,0.156,0.5787,0.26964
XP_004866726.1,ENSRNOP00000024492,60.86,70.99,0.2706,1.0036,0.2696
XP_004853528.1,ENSRNOP00000005005,76.89,81.3,0.1407,0.522,0.26949
XP_004844210.1,ENSRNOP00000020036,79.13,81.39,0.1372,0.5096,0.26921
XP_004846182.1,ENSRNOP00000021944,72.53,74.21,0.2092,0.7772,0.26918
XP_004873249.1,ENSRNOP00000022528,73.29,75.09,0.2087,0.7757,0.26905
XP_004856551.1,ENSRNOP00000030298,73.43,79.67,0.1735,0.6454,0.26888
XP_004858507.1,ENSRNOP00000003501,75.77,79.65,0.1602,0.5959,0.2688
XP_004856798.1,ENSRNOP00000050539,72.24,77.19,0.1817,0.676,0.26873
XP_004842685.1,ENSRNOP00000022659,65.99,72.25,0.2485,0.925,0.2687
XP_004872931.1,ENSRNOP00000029244,74.15,79.32,0.1653,0.6153,0.26862
XP_004869754.1,ENSRNOP00000016653,59.15,68.37,0.3128,1.1652,0.26847
XP_004844856.1,ENSRNOP00000009135,69.09,73.51,0.2213,0.8244,0.26845
XP_004864221.1,ENSRNOP00000022514,82.43,82.55,0.1219,0.4541,0.26844
XP_004859911.1,ENSRNOP00000039322,73.22,79.15,0.1655,0.6167,0.26841
XP_004868572.1,ENSRNOP00000067189,65.72,73.5,0.2313,0.862,0.26835
XP_004851590.1,ENSRNOP00000017851,70.78,76.81,0.1865,0.6951,0.26831
XP_004851088.1,ENSRNOP00000020928,75.46,80.06,0.1513,0.5641,0.26826
XP_004842418.1,ENSRNOP00000038113,57.83,65.86,0.3434,1.2803,0.2682
XP_004849997.1,ENSRNOP00000034586,75.32,81.39,0.1464,0.546,0.26806
XP_004854954.1,ENSRNOP00000061061,70.65,77.72,0.1884,0.7027,0.26806
XP_004847042.1,ENSRNOP00000001124,79.02,80.75,0.1407,0.5249,0.26805
XP_004853074.1,ENSRNOP00000049105,77.85,79.54,0.1542,0.5756,0.26788
XP_004872525.1,ENSRNOP00000007535,54.99,63.58,0.4442,1.6584,0.26786
XP_004872805.1,ENSRNOP00000020103,79.96,81.89,0.1285,0.4802,0.26763
XP_004852378.1,ENSRNOP00000027339,75.51,78.98,0.1618,0.6047,0.2676
XP_004845557.1,ENSRNOP00000010086,62.26,71.7,0.258,0.9646,0.2675
XP_004852933.1,ENSRNOP00000029587,82.14,86.14,0.0989,0.3698,0.26741
XP_004921177.1,ENSRNOP00000027234,73.23,77.35,0.1756,0.6569,0.26736
XP_004862389.1,ENSRNOP00000061583,74.37,81.4,0.164,0.6135,0.26728
XP_004835437.1,ENSRNOP00000040334,70.17,74.92,0.2019,0.7554,0.26727
XP_004850199.1,ENSRNOP00000006185,80.93,83.78,0.1147,0.4292,0.26724
XP_004841285.1,ENSRNOP00000052570,76.53,80.74,0.1429,0.5351,0.26707
XP_004867848.1,ENSRNOP00000017213,81.55,83.61,0.1129,0.4227,0.26703
XP_004864249.1,ENSRNOP00000064780,71.99,77.52,0.194,0.7267,0.267
XP_004837468.1,ENSRNOP00000008424,83.91,86.59,0.0912,0.3417,0.26699
XP_004849593.1,ENSRNOP00000045516,80.45,83.43,0.1174,0.4398,0.26688
XP_004837930.1,ENSRNOP00000007750,65.85,75.07,0.2183,0.8188,0.26662
XP_004851658.1,ENSRNOP00000021604,73,76.17,0.1829,0.686,0.26659
XP_004851138.1,ENSRNOP00000019135,74.06,80.13,0.1539,0.5773,0.26658
XP_004854680.1,ENSRNOP00000042689,75.58,80.32,0.1472,0.5524,0.26654
XP_004867161.1,ENSRNOP00000034811,65.66,73.4,0.2374,0.8911,0.26643
XP_004841399.1,ENSRNOP00000018905,73.68,80.42,0.1664,0.6251,0.26618
XP_004860900.1,ENSRNOP00000059931,64.34,69.08,0.2995,1.1253,0.26618
XP_004842647.1,ENSRNOP00000045256,56.36,67.31,0.3314,1.2451,0.26616
XP_004834163.1,ENSRNOP00000021590,80.05,83.54,0.1173,0.441,0.26602
XP_004851296.1,ENSRNOP00000017675,74.38,77.98,0.1752,0.6588,0.2659
XP_004862302.1,ENSRNOP00000012801,67.57,75.93,0.2045,0.7691,0.26587
XP_004848134.1,ENSRNOP00000040281,75,75,0.2167,0.8154,0.26571
XP_004853543.1,ENSRNOP00000003641,70.9,76.37,0.1938,0.7295,0.26562
XP_004835653.1,ENSRNOP00000005595,78.37,81.49,0.1354,0.5098,0.26555
XP_004834231.1,ENSRNOP00000060235,69.93,79.08,0.181,0.6818,0.26553
XP_004859205.1,ENSRNOP00000029909,68.94,73.69,0.2279,0.859,0.26531
XP_004866125.1,ENSRNOP00000066533,55.71,67.6,0.3269,1.2322,0.26531
XP_004848824.1,ENSRNOP00000014489,70.77,76.6,0.195,0.7354,0.26514
XP_004834013.1,ENSRNOP00000027994,81.86,82.13,0.1218,0.4596,0.26501
XP_004849783.1,ENSRNOP00000002899,68.76,73.41,0.2242,0.8464,0.26493
XP_004870182.1,ENSRNOP00000021387,81.25,83.33,0.1127,0.4256,0.26487
XP_004839258.1,ENSRNOP00000007763,78.63,80.53,0.1413,0.5335,0.26481
XP_004869441.1,ENSRNOP00000026184,73.67,78.18,0.1736,0.6559,0.26474
XP_004875601.1,ENSRNOP00000024362,68.25,72.49,0.2375,0.897,0.26471
XP_004838530.1,ENSRNOP00000015920,78.24,80.98,0.1369,0.5171,0.26469
XP_004837370.1,ENSRNOP00000007825,77.99,80.78,0.1517,0.573,0.26468
XP_004863042.1,ENSRNOP00000063172,74.23,78.86,0.167,0.6312,0.26457
XP_004847941.1,ENSRNOP00000047070,66.15,72.48,0.2404,0.9088,0.26453
XP_004852162.1,ENSRNOP00000045788,67.52,75.24,0.2109,0.7975,0.26443
XP_004860560.1,ENSRNOP00000022275,72.57,79.06,0.1643,0.6216,0.26434
XP_004871066.1,ENSRNOP00000066040,72.22,76.8,0.1864,0.7053,0.26429
XP_004851212.1,ENSRNOP00000017207,69.96,75.03,0.2061,0.7801,0.26424
XP_004850963.1,ENSRNOP00000008887,73.37,78.62,0.1687,0.6385,0.26413
XP_004874646.1,ENSRNOP00000016719,76.68,81.04,0.1418,0.537,0.26412
XP_004864548.1,ENSRNOP00000027256,78.42,80.99,0.1408,0.5335,0.26395
XP_004873028.1,ENSRNOP00000013471,83.68,86.23,0.0947,0.3592,0.26374
XP_004852831.1,ENSRNOP00000020047,65.14,73.05,0.242,0.9182,0.26361
XP_004851258.1,ENSRNOP00000045103,79.54,82.27,0.1292,0.4902,0.26358
XP_004868064.1,ENSRNOP00000022281,71.64,77.6,0.1765,0.6698,0.26358
XP_004842338.1,ENSRNOP00000037080,71.75,77.28,0.1839,0.6979,0.26348
XP_004851132.1,ENSRNOP00000058947,84.72,84.26,0.1021,0.3875,0.26344
XP_004872275.1,ENSRNOP00000005033,80.37,83.94,0.1163,0.4417,0.26334
XP_004845561.1,ENSRNOP00000009428,78.71,82.15,0.1325,0.5034,0.26325
XP_004844842.1,ENSRNOP00000006366,71.4,76.52,0.1803,0.685,0.26316
XP_004862339.1,ENSRNOP00000006246,73.6,79.21,0.1702,0.6467,0.26311
XP_004867011.1,ENSRNOP00000028116,57.52,69.17,0.3582,1.3616,0.2631
XP_004849840.1,ENSRNOP00000003024,78.52,81.38,0.133,0.5056,0.26308
XP_004864233.1,ENSRNOP00000019979,76.56,79.82,0.1482,0.5634,0.26304
XP_004842234.1,ENSRNOP00000008087,77.88,81.66,0.1352,0.514,0.26302
XP_004869039.1,ENSRNOP00000032041,75.84,80.26,0.149,0.5668,0.26293
XP_004874567.1,ENSRNOP00000037323,82.02,85.3,0.1009,0.3838,0.26289
XP_004841042.1,ENSRNOP00000030951,64.23,71,0.249,0.9471,0.26288
XP_004861355.1,ENSRNOP00000046028,73.16,78.3,0.1782,0.6779,0.26284
XP_004872787.1,ENSRNOP00000017314,77.55,80.69,0.1419,0.5398,0.26283
XP_004845457.1,ENSRNOP00000041528,69.5,77.19,0.2022,0.7695,0.26275
XP_004850351.1,ENSRNOP00000013801,66.79,73.69,0.2302,0.8763,0.26275
XP_004848621.1,ENSRNOP00000057234,75.59,80.84,0.1742,0.6638,0.2624
XP_004836382.1,ENSRNOP00000024151,71.23,77.68,0.1888,0.7195,0.26236
XP_004857581.1,ENSRNOP00000004946,79.64,83.21,0.1206,0.46,0.26222
XP_004840757.1,ENSRNOP00000028834,75.46,80.11,0.1504,0.5746,0.2618
XP_004868891.1,ENSRNOP00000030909,61.28,69.97,0.2775,1.0599,0.26179
XP_004859827.1,ENSRNOP00000003369,75.74,79.96,0.1501,0.5733,0.26178
XP_004862382.1,ENSRNOP00000029809,71.26,78.22,0.1801,0.6883,0.26168
XP_004846563.1,ENSRNOP00000025094,59.64,65.41,0.3583,1.3691,0.26167
XP_004835137.1,ENSRNOP00000014323,66.85,72.86,0.2419,0.9248,0.26156
XP_004869277.1,ENSRNOP00000015803,78.73,82.03,0.1287,0.4921,0.26155
XP_004845025.1,ENSRNOP00000065259,91.45,92.76,0.045,0.1719,0.2615
XP_004834429.1,ENSRNOP00000060597,80.78,84.12,0.116,0.4436,0.26149
XP_004848970.1,ENSRNOP00000061702,62.52,69.83,0.2783,1.0642,0.26148
XP_004870610.1,ENSRNOP00000002946,63.27,71.17,0.3052,1.1674,0.26146
XP_004870455.1,ENSRNOP00000033107,72.19,77.48,0.1797,0.6875,0.26133
XP_004843117.1,ENSRNOP00000061491,72.86,74.37,0.2058,0.7879,0.26122
XP_004848705.1,ENSRNOP00000040100,79.06,81.85,0.1309,0.501,0.26122
XP_004857508.1,ENSRNOP00000014261,77.59,80.98,0.1397,0.5348,0.2612
XP_004862018.1,ENSRNOP00000020376,71.31,78.14,0.1683,0.6445,0.26114
XP_004851809.1,ENSRNOP00000020004,62.28,67.4,0.3097,1.1861,0.26112
XP_004845838.1,ENSRNOP00000016614,67.39,73.19,0.2151,0.8239,0.26109
XP_004856520.1,ENSRNOP00000049169,64.8,75.18,0.2138,0.8189,0.26104
XP_004839780.1,ENSRNOP00000042700,76.47,80.17,0.1422,0.5447,0.26098
XP_004834489.1,ENSRNOP00000021536,80.2,81.52,0.1316,0.5044,0.26088
XP_004851785.1,ENSRNOP00000021925,12.17,29.75,1.8448,7.0722,0.26085
XP_004844597.1,ENSRNOP00000008161,73.08,78.77,0.1668,0.6395,0.26076
XP_004872242.1,ENSRNOP00000019971,74.64,74.88,0.2068,0.7936,0.26061
XP_004868859.1,ENSRNOP00000003139,56.45,69.35,0.2948,1.1318,0.26049
XP_004864495.1,ENSRNOP00000010260,66.96,75.09,0.2104,0.8081,0.2604
XP_004860696.1,ENSRNOP00000035453,68.88,77.4,0.1955,0.7509,0.26038
XP_004856862.1,ENSRNOP00000008685,73.91,79.5,0.1711,0.6574,0.26031
XP_004870404.1,ENSRNOP00000033780,76.03,82.64,0.1292,0.4965,0.26031
XP_004844177.1,ENSRNOP00000017107,70.34,76.15,0.1917,0.7365,0.26027
XP_004844918.1,ENSRNOP00000033340,64.71,68.12,0.2746,1.056,0.26007
XP_004871691.1,ENSRNOP00000016730,62.08,69.7,0.2879,1.1071,0.26
XP_004836042.1,ENSRNOP00000017722,73.29,78.08,0.1804,0.6942,0.25988
XP_004850698.1,ENSRNOP00000059193,78.08,79.78,0.1532,0.5896,0.25974
XP_004849363.1,ENSRNOP00000066838,66.41,74.63,0.2252,0.8673,0.25962
XP_004855819.1,ENSRNOP00000012404,75.96,79.02,0.164,0.6316,0.25957
XP_004853611.1,ENSRNOP00000062125,75.95,79.49,0.1523,0.5871,0.25943
XP_004863839.1,ENSRNOP00000029146,70.94,77.14,0.194,0.748,0.25941
XP_004867585.1,ENSRNOP00000029686,72.7,78.06,0.1686,0.6503,0.25931
XP_004866559.1,ENSRNOP00000031090,72.91,77.14,0.1832,0.7066,0.25928
XP_004838140.1,ENSRNOP00000037632,72.05,79.92,0.1751,0.6757,0.25921
XP_004864347.1,ENSRNOP00000016911,71.69,77.48,0.1781,0.6876,0.25903
XP_004864765.1,ENSRNOP00000004702,79.17,84.72,0.1123,0.4339,0.25894
XP_004857271.1,ENSRNOP00000026351,79.34,81.27,0.1356,0.524,0.2588
XP_004858717.1,ENSRNOP00000048836,72.75,79.12,0.164,0.634,0.25876
XP_004835980.1,ENSRNOP00000006387,79.39,81.71,0.1329,0.5138,0.25871
XP_004858068.1,ENSRNOP00000006884,64.59,67.21,0.3106,1.201,0.25863
XP_004851759.1,ENSRNOP00000044906,61.07,69.92,0.2921,1.1307,0.25836
XP_004862856.1,ENSRNOP00000062257,82.81,83.07,0.1232,0.4769,0.25836
XP_004871768.1,ENSRNOP00000005408,75.49,77.82,0.1721,0.6669,0.25807
XP_004874000.1,ENSRNOP00000058802,77.5,78.11,0.1727,0.6693,0.25802
XP_004866126.1,ENSRNOP00000067404,48.6,60.53,0.4341,1.6829,0.25795
XP_004858707.1,ENSRNOP00000004228,80.47,82.45,0.123,0.4769,0.25794
XP_004865117.1,ENSRNOP00000017217,77.32,79.1,0.1516,0.588,0.25788
XP_004851825.1,ENSRNOP00000017137,72.63,77.19,0.1967,0.7629,0.25787
XP_004844165.1,ENSRNOP00000053518,70.98,78.24,0.1818,0.7049,0.25786
XP_004872388.1,ENSRNOP00000002983,69.02,73.29,0.2162,0.8387,0.25784
XP_004867122.1,ENSRNOP00000066428,65.35,71.41,0.2646,1.0261,0.25783
XP_004866996.1,ENSRNOP00000037916,72.21,77.11,0.1955,0.7583,0.25782
XP_004848986.1,ENSRNOP00000060572,72.68,76.69,0.1805,0.7,0.25781
XP_004844646.1,ENSRNOP00000012622,74.48,79.06,0.1624,0.6303,0.2577
XP_004872069.1,ENSRNOP00000056998,77.81,82.12,0.1313,0.5099,0.25746
XP_004856981.1,ENSRNOP00000017590,79.09,81.7,0.1382,0.537,0.25743
XP_004840349.1,ENSRNOP00000038138,73.25,78.04,0.1708,0.6638,0.2573
XP_004840788.1,ENSRNOP00000028855,69.35,75.45,0.204,0.7937,0.25704
XP_004840608.1,ENSRNOP00000001963,36.62,49.77,0.6875,2.6756,0.25694
XP_004861671.1,ENSRNOP00000007299,78.19,81.02,0.1361,0.5295,0.25694
XP_004867248.1,ENSRNOP00000035308,66.75,72.35,0.2421,0.9431,0.25675
XP_004838083.1,ENSRNOP00000014605,65.82,75.39,0.2318,0.9031,0.25669
XP_004870594.1,ENSRNOP00000062389,62.34,70.63,0.2643,1.0298,0.25665
XP_004839917.1,ENSRNOP00000005857,75.85,80,0.1517,0.5911,0.25664
XP_004855056.1,ENSRNOP00000019256,77.04,83.12,0.1336,0.5207,0.25651
XP_004838789.1,ENSRNOP00000035233,73.45,77.88,0.1721,0.6712,0.2564
XP_004864614.1,ENSRNOP00000024975,83.82,85.05,0.1012,0.3947,0.2563
XP_004856678.1,ENSRNOP00000007789,70.38,75.9,0.1945,0.759,0.25626
XP_004861562.1,ENSRNOP00000010994,72.56,79.31,0.1626,0.6345,0.25619
XP_004862119.1,ENSRNOP00000006768,79.68,83.33,0.12,0.4686,0.25608
XP_004858746.1,ENSRNOP00000005194,85.22,84.88,0.0988,0.3861,0.256
XP_004834733.1,ENSRNOP00000002421,54.71,62.73,0.3896,1.5222,0.25596
XP_004843962.1,ENSRNOP00000054626,74.64,78.82,0.1673,0.654,0.25578
XP_004860222.1,ENSRNOP00000000467,76.74,81.6,0.138,0.5396,0.25571
XP_004863068.1,ENSRNOP00000040497,77.89,80.47,0.1424,0.557,0.25567
XP_004868708.1,ENSRNOP00000007324,86.17,85.56,0.0957,0.3742,0.25564
XP_004869153.1,ENSRNOP00000000660,68.17,73.65,0.2256,0.8828,0.25553
XP_004871992.1,ENSRNOP00000007015,71.74,77.97,0.1784,0.6982,0.25553
XP_004864674.1,ENSRNOP00000064323,77.67,79.5,0.152,0.595,0.2555
XP_004850347.1,ENSRNOP00000007255,76.72,81.13,0.1384,0.5416,0.25547
XP_004921205.1,ENSRNOP00000051553,72.8,77.27,0.1849,0.7239,0.25545
XP_004844785.1,ENSRNOP00000019880,66.25,73.27,0.2296,0.8988,0.25541
XP_004846130.1,ENSRNOP00000015115,72.5,77.04,0.1788,0.7003,0.2553
XP_004858632.1,ENSRNOP00000015490,79.84,81.99,0.125,0.4898,0.25526
XP_004835277.1,ENSRNOP00000002439,78.3,81.94,0.1342,0.5261,0.25515
XP_004865917.1,ENSRNOP00000027737,69.63,77.04,0.2041,0.8004,0.25503
XP_004872354.1,ENSRNOP00000016613,62.76,70.01,0.2826,1.1083,0.25499
XP_004846121.1,ENSRNOP00000058467,71.64,75.59,0.1915,0.7511,0.25496
XP_004838302.1,ENSRNOP00000029992,70.93,75.66,0.201,0.7886,0.25486
XP_004847720.1,ENSRNOP00000024206,73.43,78.11,0.1666,0.6537,0.25477
XP_004862725.1,ENSRNOP00000012078,75.69,79.16,0.1562,0.6134,0.2547
XP_004858014.1,ENSRNOP00000002255,74.62,79.96,0.1546,0.607,0.25469
XP_004873590.1,ENSRNOP00000003540,81.08,85.59,0.1038,0.4077,0.25469
XP_004846370.1,ENSRNOP00000014273,71.86,78.14,0.1752,0.6882,0.25456
XP_004865453.1,ENSRNOP00000009067,58.27,67.72,0.2936,1.1535,0.25453
XP_004866901.1,ENSRNOP00000037790,72.35,79.72,0.1554,0.6108,0.2545
XP_004868053.1,ENSRNOP00000020880,76.11,78.47,0.1604,0.6304,0.2545
XP_004858560.1,ENSRNOP00000026580,61.98,70.86,0.2674,1.0507,0.25447
XP_004845859.1,ENSRNOP00000043855,70.28,76.71,0.1842,0.7239,0.25439
XP_004836796.1,ENSRNOP00000066033,85.42,85.02,0.1062,0.4176,0.25433
XP_004864821.1,ENSRNOP00000009283,78.52,81.69,0.133,0.5228,0.25432
XP_004842373.1,ENSRNOP00000058017,78.81,81.34,0.1309,0.5151,0.25411
XP_004835540.1,ENSRNOP00000023209,74.1,79.72,0.1573,0.6193,0.254
XP_004855879.1,ENSRNOP00000051971,72.93,75.69,0.1873,0.7378,0.25381
XP_004843001.1,ENSRNOP00000027695,83.98,86.82,0.088,0.347,0.25376
XP_004861226.1,ENSRNOP00000064332,60.53,66.49,0.3117,1.2282,0.25375
