SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004844306.1,ENSCPOP00000004195,91.4,92.36,0.0422,0.2082,0.20262
XP_004863925.1,ENSCPOP00000004631,84.26,86.01,0.0868,0.4283,0.20258
XP_004871748.1,ENSCPOP00000000341,91.87,93.17,0.0397,0.1958,0.20257
XP_004854487.1,ENSCPOP00000012333,86.64,87.67,0.0746,0.3682,0.20257
XP_004868582.1,ENSCPOP00000006108,82.78,83.22,0.1144,0.5651,0.2025
XP_004850653.1,ENSCPOP00000014061,89.11,91.75,0.0505,0.2493,0.2024
XP_004847998.1,ENSCPOP00000009027,89.99,90.52,0.0522,0.2581,0.20232
XP_004844200.1,ENSCPOP00000019904,87.91,89.3,0.0631,0.3121,0.2023
XP_004860907.1,ENSCPOP00000009271,86.15,87.84,0.076,0.3758,0.20228
XP_004847058.1,ENSCPOP00000019659,84.62,83.69,0.0975,0.4819,0.20228
XP_004852489.1,ENSCPOP00000006249,87.5,88.99,0.0674,0.3333,0.2022
XP_004868957.1,ENSCPOP00000008060,93.94,93.81,0.0321,0.1586,0.20209
XP_004872785.1,ENSCPOP00000006413,91.89,91.89,0.0466,0.2309,0.20203
XP_004836323.1,ENSCPOP00000003641,87.86,88.36,0.07,0.3467,0.20199
XP_004865320.1,ENSCPOP00000012177,93.12,92.95,0.037,0.183,0.20196
XP_004873880.1,ENSCPOP00000017224,88.66,88.89,0.063,0.3118,0.20195
XP_004846102.1,ENSCPOP00000004831,88.95,88.95,0.063,0.3118,0.20193
XP_004851909.1,ENSCPOP00000007346,85.05,85.88,0.0947,0.469,0.20189
XP_004867787.1,ENSCPOP00000003266,82.49,83.97,0.0988,0.4894,0.20187
XP_004843001.1,ENSCPOP00000003357,93.3,93.73,0.033,0.1636,0.20181
XP_004872189.1,ENSCPOP00000011309,89.76,88.05,0.0712,0.3529,0.2018
XP_004866533.1,ENSCPOP00000004762,92.94,91.6,0.0469,0.2325,0.20178
XP_004836538.1,ENSCPOP00000002010,92.62,93.18,0.0362,0.1796,0.20177
XP_004849090.1,ENSCPOP00000003984,85.15,88.77,0.0767,0.3803,0.20171
XP_004841832.1,ENSCPOP00000007517,90.38,92.31,0.0447,0.2217,0.20171
XP_004869413.1,ENSCPOP00000008784,91.54,91.74,0.0454,0.2253,0.20171
XP_004841570.1,ENSCPOP00000020008,88.55,88.3,0.0677,0.3355,0.20171
XP_004864296.1,ENSCPOP00000009469,88.04,90.03,0.0595,0.2952,0.20167
XP_004867992.1,ENSCPOP00000015081,85.17,87.6,0.0804,0.399,0.20162
XP_004851042.1,ENSCPOP00000019529,91.23,91.23,0.0499,0.2477,0.20161
XP_004839414.1,ENSCPOP00000020614,90.56,93.12,0.0427,0.212,0.2016
XP_004868606.1,ENSCPOP00000007781,81.75,83.4,0.1055,0.5237,0.20149
XP_004843687.1,ENSCPOP00000007336,89.71,90.85,0.0523,0.2598,0.20147
XP_004872921.1,ENSCPOP00000003200,93.21,91.61,0.05,0.248,0.20144
XP_004851007.1,ENSCPOP00000005554,94.49,90.65,0.0437,0.2169,0.20144
XP_004840120.1,ENSCPOP00000009227,87.38,89.14,0.0659,0.3272,0.20137
XP_004845446.1,ENSCPOP00000015476,81.3,87.26,0.0892,0.4433,0.20127
XP_004846892.1,ENSCPOP00000017364,93.12,91.61,0.0422,0.2095,0.20127
XP_004869920.1,ENSCPOP00000016600,72.02,76.25,0.2004,0.9961,0.2012
XP_004862996.1,ENSCPOP00000012183,91,92.34,0.0449,0.2233,0.20115
XP_004851064.1,ENSCPOP00000000940,96.05,95.65,0.023,0.1141,0.20114
XP_004861520.1,ENSCPOP00000014206,93.65,93.61,0.0331,0.1644,0.20112
XP_004868213.1,ENSCPOP00000006760,89.93,90.79,0.0544,0.2706,0.2011
XP_004848642.1,ENSCPOP00000007796,92.82,92.65,0.0389,0.1936,0.20109
XP_004835087.1,ENSCPOP00000010018,74.25,80.76,0.1571,0.7814,0.20106
XP_004854492.1,ENSCPOP00000017765,91.67,92.78,0.0404,0.2009,0.20093
XP_004842240.1,ENSCPOP00000020878,77.3,75.65,0.1783,0.8877,0.20085
XP_004845557.1,ENSCPOP00000019118,83.33,85.44,0.0946,0.4713,0.2008
XP_004865943.1,ENSCPOP00000019268,83.01,84.85,0.0997,0.4965,0.20076
XP_004858295.1,ENSCPOP00000016883,82.77,86.06,0.0931,0.4635,0.20075
XP_004839232.1,ENSCPOP00000003418,88.57,89.37,0.0575,0.2865,0.20069
XP_004868109.1,ENSCPOP00000000932,84.62,82.57,0.1143,0.5697,0.20068
XP_004845863.1,ENSCPOP00000000319,94.87,92.09,0.0483,0.2408,0.20062
XP_004863166.1,ENSCPOP00000007492,91.97,91.57,0.0447,0.2227,0.20054
XP_004835367.1,ENSCPOP00000006027,84.79,86.94,0.0826,0.4122,0.20052
XP_004867253.1,ENSCPOP00000010381,91.37,92.57,0.0448,0.2234,0.20049
XP_004850256.1,ENSCPOP00000007427,80,79.73,0.1364,0.6803,0.20047
XP_004861290.1,ENSCPOP00000004873,92.85,92.64,0.0369,0.1841,0.20045
XP_004872770.1,ENSCPOP00000005059,88.66,88.94,0.061,0.3045,0.20036
XP_004855234.1,ENSCPOP00000007143,89.98,90.22,0.0542,0.2708,0.20034
XP_004870878.1,ENSCPOP00000013628,91.79,91.66,0.044,0.2197,0.20029
XP_004871553.1,ENSCPOP00000013161,94.16,93.67,0.0323,0.1614,0.20028
XP_004844763.1,ENSCPOP00000001327,91.82,91.82,0.0448,0.2236,0.20025
XP_004853828.1,ENSCPOP00000001165,92.82,92.05,0.0415,0.2071,0.20024
XP_004867801.1,ENSCPOP00000003136,80.9,83.61,0.116,0.5791,0.20022
XP_004838871.1,ENSCPOP00000011324,93.7,91.23,0.0479,0.2393,0.20018
XP_004847667.1,ENSCPOP00000021095,91.2,91.27,0.0457,0.2283,0.20018
XP_004848105.1,ENSCPOP00000007657,90,90.29,0.0527,0.2633,0.20016
XP_004853864.1,ENSCPOP00000008538,84.51,85.92,0.0913,0.4559,0.20016
XP_004848409.1,ENSCPOP00000009477,85.63,89.38,0.071,0.3548,0.20014
XP_004855187.1,ENSCPOP00000012805,91.36,90.57,0.0552,0.2758,0.20008
XP_004839761.1,ENSCPOP00000001211,91.36,90.81,0.0518,0.259,0.20001
XP_004871203.1,ENSCPOP00000004370,87.19,88.07,0.0674,0.3372,0.19994
XP_004844406.1,ENSCPOP00000006624,85.47,86.79,0.0853,0.427,0.19983
XP_004861529.1,ENSCPOP00000001684,91.79,92.87,0.0409,0.2047,0.19979
XP_004858679.1,ENSCPOP00000002485,89.97,89.77,0.0546,0.2731,0.19977
XP_004838696.1,ENSCPOP00000006330,91.91,91.45,0.0449,0.2248,0.19977
XP_004863962.1,ENSCPOP00000007168,88.38,89.45,0.062,0.3103,0.19973
XP_004861163.1,ENSCPOP00000018684,95.03,95.03,0.0245,0.1226,0.19964
XP_004851613.1,ENSCPOP00000002462,89.67,88.98,0.0614,0.3077,0.1996
XP_004835469.1,ENSCPOP00000003846,81.33,82.44,0.1147,0.5745,0.19959
XP_004856179.1,ENSCPOP00000012448,86.74,87.02,0.0753,0.3774,0.19949
XP_004842899.1,ENSCPOP00000000559,93.31,93.31,0.0376,0.1887,0.19948
XP_004850602.1,ENSCPOP00000009654,87.37,88.57,0.0653,0.3273,0.19946
XP_004872966.1,ENSCPOP00000011510,88.89,89.61,0.0591,0.2965,0.19945
XP_004843030.1,ENSCPOP00000013871,90.61,90.75,0.0513,0.2574,0.19944
XP_004866129.1,ENSCPOP00000009100,70.91,75.53,0.1998,1.0017,0.19943
XP_004855816.1,ENSCPOP00000004586,89.43,89.84,0.0582,0.2919,0.19933
XP_004841891.1,ENSCPOP00000016616,89.78,90.5,0.0512,0.2567,0.1993
XP_004850416.1,ENSCPOP00000019537,81.07,86.31,0.0948,0.4762,0.19913
XP_004848575.1,ENSCPOP00000016593,87.37,89.09,0.0648,0.3252,0.19912
XP_004838261.1,ENSCPOP00000007542,90.1,90.22,0.0554,0.2783,0.19906
XP_004864445.1,ENSCPOP00000016768,86.04,87.91,0.0744,0.3738,0.19903
XP_004862750.1,ENSCPOP00000009557,93.08,91.68,0.0437,0.2198,0.19902
XP_004867315.1,ENSCPOP00000009881,89.74,91.01,0.0526,0.2644,0.19902
XP_004854927.1,ENSCPOP00000010306,85.65,86.44,0.0795,0.3996,0.19894
XP_004842719.1,ENSCPOP00000018565,83.21,87.06,0.0873,0.439,0.19892
XP_004873211.1,ENSCPOP00000009232,80.4,79.37,0.155,0.7792,0.1989
XP_004863803.1,ENSCPOP00000019788,86.67,88.55,0.0748,0.376,0.19888
XP_004856426.1,ENSCPOP00000000217,89.54,89.6,0.061,0.3071,0.19876
XP_004872200.1,ENSCPOP00000010919,93.3,93.98,0.0351,0.1768,0.19873
XP_004864252.1,ENSCPOP00000017317,92.6,92.31,0.0411,0.2069,0.19867
XP_004859741.1,ENSCPOP00000016996,89.19,89.19,0.0601,0.3027,0.19866
XP_004867324.1,ENSCPOP00000004340,91.55,91.26,0.0548,0.276,0.19863
XP_004851399.1,ENSCPOP00000005297,86.96,85.35,0.0921,0.4636,0.19863
XP_004868728.1,ENSCPOP00000018748,94.62,94.75,0.0271,0.1366,0.19857
XP_004854865.1,ENSCPOP00000019973,81.99,82.62,0.1172,0.5901,0.19855
XP_004858422.1,ENSCPOP00000001486,90.75,90.33,0.0563,0.2836,0.19849
XP_004857077.1,ENSCPOP00000013694,96.98,96.68,0.0155,0.0779,0.19848
XP_004849497.1,ENSCPOP00000018757,90.7,90.7,0.0522,0.2632,0.19846
XP_004838519.1,ENSCPOP00000003416,84.94,85.49,0.0898,0.453,0.19835
XP_004859884.1,ENSCPOP00000012250,74.55,76.34,0.195,0.9831,0.19835
XP_004865318.1,ENSCPOP00000014090,94.62,92.96,0.0377,0.1902,0.19834
XP_004835506.1,ENSCPOP00000009499,83.6,84.33,0.0926,0.4667,0.19832
XP_004851253.1,ENSCPOP00000006377,85.75,81.78,0.1153,0.5817,0.19823
XP_004868001.1,ENSCPOP00000006001,92.72,92.84,0.0372,0.1876,0.19821
XP_004864717.1,ENSCPOP00000000137,90.13,90.79,0.0529,0.267,0.19819
XP_004840829.1,ENSCPOP00000016737,75.57,84.85,0.1294,0.6532,0.19816
XP_004847663.1,ENSCPOP00000001771,89.98,90.1,0.0541,0.2733,0.19812
XP_004842257.1,ENSCPOP00000007075,90.63,90.3,0.0543,0.2739,0.1981
XP_004838541.1,ENSCPOP00000008380,92.78,92.65,0.0376,0.1897,0.19803
XP_004845104.1,ENSCPOP00000005139,92.15,92.09,0.0421,0.2127,0.19799
XP_004853498.1,ENSCPOP00000013196,87.93,89.78,0.0627,0.3169,0.19796
XP_004855496.1,ENSCPOP00000014890,88.05,88.49,0.0642,0.3244,0.19796
XP_004872411.1,ENSCPOP00000010300,88.48,88.01,0.0661,0.3338,0.19795
XP_004845623.1,ENSCPOP00000005945,85.4,89.78,0.0682,0.3448,0.19793
XP_004844322.1,ENSCPOP00000005870,90.42,91.62,0.0459,0.2318,0.19791
XP_004842025.1,ENSCPOP00000012979,92.56,92.88,0.0376,0.1901,0.19788
XP_004857672.1,ENSCPOP00000005347,94.25,94.1,0.0307,0.1553,0.19786
XP_004865642.1,ENSCPOP00000008850,78.38,79.86,0.1463,0.7397,0.19781
XP_004848312.1,ENSCPOP00000001574,92.19,92.13,0.0411,0.2079,0.19779
XP_004859333.1,ENSCPOP00000017987,73.16,79.65,0.163,0.8241,0.19774
XP_004857854.1,ENSCPOP00000013904,93.05,93.76,0.0329,0.1666,0.19768
XP_004867472.1,ENSCPOP00000007081,86,87.26,0.0755,0.3823,0.19751
XP_004835233.1,ENSCPOP00000009761,85.93,86.3,0.0809,0.4097,0.19751
XP_004861533.1,ENSCPOP00000004418,92.47,93.1,0.0363,0.1837,0.19749
XP_004866067.1,ENSCPOP00000002231,71.3,78.67,0.1654,0.8377,0.19748
XP_004874456.1,ENSCPOP00000010491,89.07,88.6,0.0619,0.3134,0.19747
XP_004846656.1,ENSCPOP00000006477,77.18,82.74,0.1348,0.6828,0.19741
XP_004861882.1,ENSCPOP00000006828,86.42,87.57,0.0707,0.358,0.1974
XP_004871668.1,ENSCPOP00000011541,91.89,91.59,0.0452,0.2291,0.19738
XP_004849979.1,ENSCPOP00000006440,93.88,94.2,0.0312,0.158,0.19732
XP_004850051.1,ENSCPOP00000000879,92.69,92.95,0.0378,0.1915,0.19727
XP_004843600.1,ENSCPOP00000003538,88.54,89.76,0.0597,0.3026,0.19723
XP_004857165.1,ENSCPOP00000008396,83.42,86.7,0.0913,0.4632,0.19719
XP_004838225.1,ENSCPOP00000014943,94.37,94.19,0.0282,0.143,0.19717
XP_004874324.1,ENSCPOP00000014608,76.57,81.19,0.1367,0.6933,0.19716
XP_004847565.1,ENSCPOP00000013866,85.36,85.12,0.092,0.4667,0.19709
XP_004856425.1,ENSCPOP00000010737,95.07,93.36,0.0336,0.1706,0.19702
XP_004850509.1,ENSCPOP00000006150,90.92,91.45,0.0471,0.2389,0.19699
XP_004854891.1,ENSCPOP00000013387,81.44,85,0.1045,0.5303,0.19699
XP_004857618.1,ENSCPOP00000010921,94.07,93.47,0.0368,0.187,0.19698
XP_004869647.1,ENSCPOP00000005912,77.22,78.15,0.1541,0.7824,0.19691
XP_004839098.1,ENSCPOP00000002279,87.5,87.72,0.0723,0.3671,0.19687
XP_004873714.1,ENSCPOP00000002924,90.7,90.47,0.0514,0.2612,0.19686
XP_004851264.1,ENSCPOP00000002960,89.66,89.2,0.0586,0.2979,0.19682
XP_004847316.1,ENSCPOP00000008969,88.22,87.85,0.0682,0.3464,0.19682
XP_004840431.1,ENSCPOP00000004371,93.31,93.24,0.0347,0.1763,0.19681
XP_004847847.1,ENSCPOP00000000298,92.24,91.3,0.0476,0.2421,0.19676
XP_004865048.1,ENSCPOP00000015009,80.13,84.19,0.1127,0.573,0.19674
XP_004835253.1,ENSCPOP00000007389,92.68,93.32,0.0363,0.1845,0.19672
XP_004847760.1,ENSCPOP00000001324,81.65,82.86,0.1075,0.5464,0.1967
XP_004840892.1,ENSCPOP00000012637,91.86,91.67,0.0453,0.2304,0.19668
XP_004847187.1,ENSCPOP00000004198,86.51,88.84,0.0688,0.35,0.19667
XP_004840250.1,ENSCPOP00000005514,93.59,92.45,0.038,0.1934,0.19665
XP_004861281.1,ENSCPOP00000011579,92.56,92.48,0.0388,0.1975,0.19662
XP_004834583.1,ENSCPOP00000003577,92.69,93.38,0.0372,0.1894,0.19659
XP_004835091.1,ENSCPOP00000019129,72.32,80.36,0.1693,0.8613,0.19655
XP_004851627.1,ENSCPOP00000007416,86.62,86.85,0.0786,0.4001,0.19653
XP_004843314.1,ENSCPOP00000011276,84.62,82.86,0.1206,0.6138,0.19652
XP_004852269.1,ENSCPOP00000002297,89.06,90.92,0.0558,0.2839,0.19651
XP_004861286.1,ENSCPOP00000011584,92.81,93.01,0.0355,0.1808,0.1965
XP_004867588.1,ENSCPOP00000004882,90.68,89.31,0.0613,0.3122,0.19649
XP_004838944.1,ENSCPOP00000012808,93.53,93.02,0.0357,0.1818,0.19649
XP_004873736.1,ENSCPOP00000010473,90.34,91.48,0.0476,0.2422,0.19642
XP_004847218.1,ENSCPOP00000018363,75.79,79.74,0.1529,0.7784,0.19642
XP_004851869.1,ENSCPOP00000000278,85.58,85.75,0.0848,0.4318,0.19639
XP_004858310.1,ENSCPOP00000012777,92.64,93.76,0.0354,0.1803,0.19639
XP_004842648.1,ENSCPOP00000003672,74.25,81.54,0.1414,0.72,0.19638
XP_004839556.1,ENSCPOP00000000740,91.47,92.54,0.0429,0.2187,0.19625
XP_004870031.1,ENSCPOP00000009679,84.1,85.98,0.0854,0.4356,0.19618
XP_004841147.1,ENSCPOP00000012994,89.78,90.8,0.0524,0.267,0.19608
XP_004874387.1,ENSCPOP00000009294,85.63,86.04,0.0838,0.4276,0.19601
XP_004858033.1,ENSCPOP00000002163,93.8,93.8,0.0312,0.1591,0.19594
XP_004846106.1,ENSCPOP00000004633,90.56,91.25,0.0487,0.2486,0.19594
XP_004838594.1,ENSCPOP00000008748,93.38,93.25,0.0357,0.1821,0.19592
XP_004870399.1,ENSCPOP00000004133,92.62,92.81,0.0381,0.1947,0.19588
XP_004842193.1,ENSCPOP00000006623,91.05,90.53,0.0541,0.276,0.19588
XP_004841407.1,ENSCPOP00000010610,90.18,87.35,0.0725,0.3699,0.19587
XP_004854590.1,ENSCPOP00000009426,90.4,90.82,0.0508,0.2594,0.19586
XP_004874664.1,ENSCPOP00000020077,94.03,94.55,0.0295,0.1508,0.19585
XP_004839849.1,ENSCPOP00000010225,89.45,89.91,0.0552,0.2819,0.19583
XP_004845235.1,ENSCPOP00000001829,77.17,77.32,0.1547,0.7898,0.19581
XP_004843643.1,ENSCPOP00000005543,93.44,93.17,0.0338,0.1728,0.19566
XP_004868881.1,ENSCPOP00000003079,87.02,84.67,0.0914,0.4672,0.19562
XP_004860857.1,ENSCPOP00000000413,94.01,94.09,0.0296,0.1514,0.19558
XP_004853284.1,ENSCPOP00000021118,90.01,91.43,0.0504,0.2575,0.19558
XP_004851302.1,ENSCPOP00000010181,81.47,81.74,0.1221,0.6242,0.19557
XP_004864463.1,ENSCPOP00000002256,92.78,91.84,0.04,0.2047,0.19555
XP_004835686.1,ENSCPOP00000005767,90.66,89.88,0.056,0.2862,0.19554
XP_004849709.1,ENSCPOP00000013163,89.94,89.84,0.0543,0.2775,0.19554
XP_004839715.1,ENSCPOP00000002174,92.32,92.32,0.0404,0.2066,0.19548
XP_004849550.1,ENSCPOP00000008892,89.49,90.79,0.0515,0.2635,0.19526
XP_004838424.1,ENSCPOP00000011688,92.26,92.76,0.0413,0.2116,0.19525
XP_004838791.1,ENSCPOP00000010606,82.28,85.69,0.0911,0.4668,0.19522
XP_004871354.1,ENSCPOP00000003879,91.4,92.16,0.0446,0.2287,0.19518
XP_004835592.1,ENSCPOP00000002882,89.64,92.41,0.0473,0.2426,0.19517
XP_004852306.1,ENSCPOP00000019044,92.52,92.83,0.0394,0.202,0.19517
XP_004846483.1,ENSCPOP00000007858,93.05,93.26,0.0343,0.1759,0.19514
XP_004874525.1,ENSCPOP00000000528,89.3,88.69,0.0632,0.324,0.1951
XP_004852788.1,ENSCPOP00000011785,90.19,90.73,0.0531,0.2719,0.19509
XP_004859508.1,ENSCPOP00000018335,86.9,85.44,0.0836,0.4288,0.19507
XP_004852300.1,ENSCPOP00000010037,91.67,92.19,0.042,0.2153,0.19501
XP_004841794.1,ENSCPOP00000010598,92.61,92.88,0.0375,0.1921,0.195
XP_004868411.1,ENSCPOP00000016630,78.55,81.61,0.1301,0.6672,0.19499
XP_004853132.1,ENSCPOP00000007065,92.89,94.17,0.0342,0.1753,0.19498
XP_004838803.1,ENSCPOP00000004348,91.01,91.36,0.0459,0.2353,0.19491
XP_004858111.1,ENSCPOP00000009561,83.3,86.19,0.0944,0.4846,0.19483
XP_004839526.1,ENSCPOP00000010567,92.95,92.95,0.0365,0.1871,0.19482
XP_004853079.1,ENSCPOP00000009097,94.59,94.73,0.0281,0.1445,0.19478
XP_004856032.1,ENSCPOP00000008392,92.5,91.52,0.0432,0.2216,0.19475
XP_004869600.1,ENSCPOP00000007983,61.74,69.82,0.2848,1.4624,0.19472
XP_004845469.1,ENSCPOP00000014998,73.09,76.29,0.1744,0.8958,0.19469
XP_004861059.1,ENSCPOP00000020675,86.89,89.48,0.0625,0.3212,0.19458
XP_004856908.1,ENSCPOP00000008684,91.47,90.49,0.0505,0.2596,0.19457
XP_004854364.1,ENSCPOP00000005193,91.93,91.9,0.0424,0.2182,0.19453
XP_004863438.1,ENSCPOP00000007952,88.12,90.17,0.0592,0.3044,0.19449
XP_004844979.1,ENSCPOP00000003674,89.36,89.87,0.0546,0.281,0.19445
XP_004874116.1,ENSCPOP00000017683,91.19,90.69,0.0481,0.2474,0.19444
XP_004839517.1,ENSCPOP00000008219,90.34,89.02,0.0609,0.3132,0.1944
XP_004860376.1,ENSCPOP00000008933,91.65,91.18,0.0463,0.238,0.19433
XP_004848482.1,ENSCPOP00000020150,89.05,88.69,0.0636,0.327,0.19432
XP_004840955.1,ENSCPOP00000001444,90.17,89.67,0.0561,0.2892,0.19415
XP_004850211.1,ENSCPOP00000002638,92.04,92.13,0.0402,0.2071,0.19415
XP_004834784.1,ENSCPOP00000009735,93.25,91.89,0.0477,0.2459,0.19415
XP_004847399.1,ENSCPOP00000004279,80.37,84.32,0.1122,0.5781,0.19412
XP_004847175.1,ENSCPOP00000018888,86.07,88.93,0.0672,0.346,0.19411
XP_004867566.1,ENSCPOP00000018820,90.99,91.49,0.0465,0.2398,0.1941
XP_004834564.1,ENSCPOP00000020706,91.09,89.27,0.0597,0.3074,0.19409
XP_004844510.1,ENSCPOP00000009481,85.41,85.98,0.0908,0.468,0.19403
XP_004874052.1,ENSCPOP00000002092,91.75,91.25,0.0462,0.2383,0.19399
XP_004838474.1,ENSCPOP00000020764,92.39,91.12,0.0536,0.2761,0.19397
XP_004859034.1,ENSCPOP00000000102,91.77,92.59,0.0446,0.2297,0.19393
XP_004835830.1,ENSCPOP00000003229,93.72,93.97,0.0311,0.1604,0.19387
XP_004865372.1,ENSCPOP00000003426,78.78,81.84,0.1289,0.6649,0.19386
XP_004866738.1,ENSCPOP00000020011,81.11,82.18,0.1229,0.6341,0.1938
XP_004866974.1,ENSCPOP00000015340,78.75,83.57,0.1222,0.6307,0.1937
XP_004851090.1,ENSCPOP00000008584,87.26,88,0.0709,0.3658,0.19368
XP_004865742.1,ENSCPOP00000010241,79.14,81.6,0.1302,0.6725,0.19364
XP_004857858.1,ENSCPOP00000004010,92.58,91.25,0.0492,0.2541,0.19362
XP_004863637.1,ENSCPOP00000021145,82.44,87.34,0.0918,0.4742,0.19362
XP_004839985.1,ENSCPOP00000013323,86.89,89.41,0.0664,0.3429,0.19361
XP_004867121.1,ENSCPOP00000020216,75.73,83.04,0.1372,0.7089,0.19357
XP_004873682.1,ENSCPOP00000004272,89.44,89.69,0.0594,0.307,0.19356
XP_004861630.1,ENSCPOP00000012706,89.85,89.63,0.0576,0.2976,0.19353
XP_004835204.1,ENSCPOP00000018209,86.31,86.98,0.084,0.4341,0.19353
XP_004872577.1,ENSCPOP00000015999,85.99,85.9,0.0846,0.4372,0.19347
XP_004844195.1,ENSCPOP00000000068,93.82,92.66,0.0406,0.2099,0.19346
XP_004852254.1,ENSCPOP00000017520,90.27,89.61,0.0598,0.3093,0.19341
XP_004866324.1,ENSCPOP00000017819,97.96,97.96,0.0098,0.0505,0.19339
XP_004841785.1,ENSCPOP00000016439,86.27,84.97,0.0943,0.4879,0.19337
XP_004863909.1,ENSCPOP00000016532,83.42,86.26,0.0869,0.4493,0.19336
XP_004842956.1,ENSCPOP00000017764,88.74,90.66,0.0549,0.2841,0.19334
XP_004838368.1,ENSCPOP00000004399,93.38,93.49,0.033,0.1708,0.19323
XP_004843099.1,ENSCPOP00000009754,91.84,91.55,0.0432,0.2235,0.19322
XP_004836766.1,ENSCPOP00000017416,92.91,94.13,0.0343,0.1774,0.19321
XP_004849763.1,ENSCPOP00000010616,93.52,92.7,0.0362,0.1872,0.19318
XP_004874867.1,ENSCPOP00000018887,87.67,89.5,0.0627,0.3246,0.19318
XP_004856695.1,ENSCPOP00000013010,83.01,86.48,0.0904,0.4681,0.19315
XP_004849004.1,ENSCPOP00000016424,84.36,87.99,0.0807,0.4181,0.19313
XP_004855970.1,ENSCPOP00000010843,87.69,90,0.0613,0.3174,0.19312
XP_004852939.1,ENSCPOP00000013968,88.36,88.92,0.0612,0.317,0.19312
XP_004842678.1,ENSCPOP00000000316,79.6,81.47,0.1295,0.6707,0.19309
XP_004870696.1,ENSCPOP00000017272,91.19,91.49,0.0465,0.2411,0.19304
XP_004844486.1,ENSCPOP00000010766,86.5,86.64,0.0878,0.4548,0.19295
XP_004835461.1,ENSCPOP00000012695,85.71,86.28,0.0844,0.4374,0.19295
XP_004921238.1,ENSCPOP00000005858,79.12,82.17,0.1346,0.6976,0.1929
XP_004850690.1,ENSCPOP00000010516,94.32,94.07,0.0302,0.1567,0.19281
XP_004851380.1,ENSCPOP00000018215,89.59,89.67,0.0604,0.3133,0.1928
XP_004848852.1,ENSCPOP00000012696,84.32,85.37,0.0945,0.4904,0.19272
XP_004867169.1,ENSCPOP00000014728,90.39,92.09,0.0468,0.2426,0.19272
XP_004845330.1,ENSCPOP00000018302,90.72,91.82,0.0464,0.2409,0.19272
XP_004868355.1,ENSCPOP00000002601,84.18,82.28,0.1165,0.6047,0.19271
XP_004843954.1,ENSCPOP00000008173,92.76,92.74,0.0372,0.1929,0.19265
XP_004862834.1,ENSCPOP00000005567,87.89,90.73,0.0566,0.2937,0.19264
XP_004836682.1,ENSCPOP00000020469,83.28,84.6,0.1031,0.5354,0.19259
XP_004863470.1,ENSCPOP00000020043,88.64,89.96,0.0545,0.2833,0.19246
XP_004855014.1,ENSCPOP00000014044,92.15,92.82,0.0387,0.2009,0.19244
XP_004860823.1,ENSCPOP00000016322,86.93,90.15,0.0648,0.3366,0.19244
XP_004840210.1,ENSCPOP00000000151,81.59,86.32,0.0928,0.4824,0.19243
XP_004835411.1,ENSCPOP00000015409,82.14,83.89,0.0993,0.516,0.19237
XP_004851382.1,ENSCPOP00000020233,80.79,88.3,0.0898,0.4669,0.19237
XP_004845123.1,ENSCPOP00000013032,81.35,84.39,0.1028,0.5344,0.19236
XP_004874498.1,ENSCPOP00000005506,74.56,80.82,0.1561,0.8116,0.19232
XP_004857775.1,ENSCPOP00000006057,86.98,86.56,0.0864,0.4495,0.19231
XP_004853630.1,ENSCPOP00000003922,93.9,92.75,0.0371,0.1929,0.19228
XP_004842775.1,ENSCPOP00000014357,75.88,83.55,0.1293,0.673,0.19219
XP_004858709.1,ENSCPOP00000021256,95.35,95.22,0.0253,0.1317,0.19211
XP_004834892.1,ENSCPOP00000019747,89.41,89.65,0.0551,0.2871,0.19207
XP_004868257.1,ENSCPOP00000003427,90.55,89.35,0.0593,0.3089,0.19202
XP_004854961.1,ENSCPOP00000009198,88.42,89.32,0.0626,0.3261,0.19202
XP_004841732.1,ENSCPOP00000007051,78.67,80.3,0.1546,0.8053,0.192
XP_004874117.1,ENSCPOP00000010718,89.91,90.11,0.0539,0.2808,0.19199
XP_004845153.1,ENSCPOP00000004274,87.21,85.47,0.0961,0.5007,0.19191
XP_004875301.1,ENSCPOP00000010168,82.93,85.5,0.0918,0.4783,0.19187
XP_004839627.1,ENSCPOP00000003300,91.74,92.19,0.0419,0.2184,0.19186
XP_004857169.1,ENSCPOP00000000996,87.75,90.4,0.0586,0.3056,0.19181
XP_004839176.1,ENSCPOP00000015178,91.03,89.81,0.0513,0.2674,0.19181
XP_004862786.1,ENSCPOP00000008831,91.8,91.98,0.042,0.219,0.19175
XP_004833987.1,ENSCPOP00000010216,90.94,90.36,0.0516,0.2692,0.19173
XP_004855186.1,ENSCPOP00000004266,92.19,91.52,0.0455,0.2375,0.19172
XP_004860057.1,ENSCPOP00000004065,86.74,85.81,0.0834,0.4349,0.19169
XP_004846103.1,ENSCPOP00000001329,92.55,90.96,0.0505,0.2635,0.19168
XP_004872762.1,ENSCPOP00000019845,93.84,93.45,0.0322,0.1681,0.19166
XP_004845090.1,ENSCPOP00000008548,94.01,95.24,0.0265,0.1384,0.19163
XP_004843290.1,ENSCPOP00000019089,91.18,91.83,0.0445,0.2322,0.1916
XP_004866952.1,ENSCPOP00000013963,84.04,85.95,0.0966,0.5042,0.19157
XP_004845831.1,ENSCPOP00000013194,88.32,87.04,0.0757,0.3954,0.19156
