SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks,Associated Gene Name
XP_004855953.1,ENSMUSP00000120547,72.74,80.86,0.1653,0.4938,0.33478,Eri2
XP_004837803.1,ENSMUSP00000023211,72.63,77.81,0.1857,0.5553,0.33436,Sharpin
XP_004837060.1,ENSMUSP00000021495,55.81,70.2,0.3158,0.9449,0.33422,Serpina5
XP_004858421.1,ENSMUSP00000053913,74.72,81.18,0.158,0.4731,0.33401,Lipk
XP_004862938.1,ENSMUSP00000064624,71.48,77.18,0.1949,0.5837,0.3339,Rnf180
XP_004848668.1,ENSMUSP00000055750,67.76,76.47,0.2125,0.6369,0.33356,Ranbp3l
XP_004867332.1,ENSMUSP00000020753,70.6,80.17,0.1807,0.5417,0.33352,Clhc1
XP_004864440.1,ENSMUSP00000047119,75.19,81.09,0.1621,0.4862,0.33334,Gnl3
XP_004870417.1,ENSMUSP00000103656,83.62,87.57,0.092,0.276,0.33333,Ptrh2
XP_004845620.1,ENSMUSP00000094072,58.4,69.89,0.2891,0.8676,0.33323,Enthd1
XP_004839874.1,ENSMUSP00000062766,64.52,70.95,0.2694,0.8086,0.33322,Nupl2
XP_004851159.1,ENSMUSP00000027393,72.48,79.9,0.1673,0.5023,0.33307,Bard1
XP_004861326.1,ENSMUSP00000071573,71.52,79.54,0.1777,0.534,0.33281,Rdh16
XP_004853003.1,ENSMUSP00000042586,62.78,71.85,0.2787,0.8376,0.33275,Cep44
XP_004840336.1,ENSMUSP00000089358,63.09,72.47,0.2754,0.8294,0.33204,Nme8
XP_004860780.1,ENSMUSP00000099320,68.29,76.05,0.2271,0.6841,0.3319,Fbf1
XP_004839180.1,ENSMUSP00000117384,79.33,84.65,0.1192,0.3591,0.33189,Asxl2
XP_004856855.1,ENSMUSP00000034654,70.18,78.42,0.188,0.5666,0.33188,Mfrp
XP_004856085.1,ENSMUSP00000075094,72.06,77.21,0.1934,0.583,0.3317,Nfatc2ip
XP_004843410.1,ENSMUSP00000031289,67.87,73.49,0.2394,0.7221,0.33156,Srrd
XP_004852056.1,ENSMUSP00000028619,78.53,82.16,0.1445,0.4359,0.33151,Hsd17b12
XP_004854361.1,ENSMUSP00000135556,84.16,87.02,0.0948,0.2861,0.33141,Rell2
XP_004863021.1,ENSMUSP00000037546,76.88,81.35,0.1486,0.4485,0.33136,Letmd1
XP_004856459.1,ENSMUSP00000067046,69.88,78.51,0.1928,0.5827,0.33095,Lep
XP_004851025.1,ENSMUSP00000101768,64.16,74.51,0.2457,0.743,0.33072,Csf3r
XP_004865443.1,ENSMUSP00000011981,64.06,73.33,0.2466,0.7462,0.33043,Snapc2
XP_004837236.1,ENSMUSP00000051664,70.91,79.25,0.1759,0.5334,0.32975,Zc2hc1c
XP_004845931.1,ENSMUSP00000032321,69.57,77.33,0.2015,0.6113,0.32972,Bcl2l14
XP_004852156.1,ENSMUSP00000009396,67.84,77.52,0.2068,0.6276,0.32949,Tspan32
XP_004873995.1,ENSMUSP00000103592,90.71,92.63,0.0494,0.1501,0.32942,Fam214b
XP_004847099.1,ENSMUSP00000025273,74.07,79.26,0.1764,0.5354,0.3294,Psors1c2
XP_004861651.1,ENSMUSP00000054980,68.84,75.35,0.2165,0.6576,0.32926,Exd1
XP_004864373.1,ENSMUSP00000052546,67.6,76.93,0.2135,0.6485,0.32923,Ccdc66
XP_004861816.1,ENSMUSP00000027955,61.89,71.82,0.2664,0.8091,0.32922,Olah
XP_004839792.1,ENSMUSP00000043679,73.37,79.64,0.1672,0.5081,0.32916,Gsap
XP_004846730.1,ENSMUSP00000110349,60.57,70.63,0.2894,0.88,0.32892,Pi16
XP_004861329.1,ENSMUSP00000026462,71.61,77.81,0.1902,0.5783,0.32881,Hsd17b6
XP_004862717.1,ENSMUSP00000034473,70.31,78.13,0.1896,0.5768,0.32865,Spata19
XP_004846143.1,ENSMUSP00000132011,72.11,78.46,0.1825,0.5556,0.32849,Hsd17b3
XP_004838916.1,ENSMUSP00000062584,72.36,79.08,0.175,0.5333,0.32812,Eno4
XP_004856853.1,ENSMUSP00000034650,73.8,81.03,0.1582,0.4824,0.32799,Mcam
XP_004836456.1,ENSMUSP00000129183,74.72,81.84,0.1456,0.4441,0.32794,Fam196b
XP_004861531.1,ENSMUSP00000033626,75.35,80.67,0.159,0.4848,0.32793,Serpina7
XP_004866228.1,ENSMUSP00000108090,78.57,83.66,0.1287,0.3927,0.32782,Map7d2
XP_004838384.1,ENSMUSP00000030216,68.63,76.63,0.2059,0.6285,0.32763,Fam154a
XP_004853503.1,ENSMUSP00000107150,77.35,82.59,0.1383,0.4222,0.32763,Fmo4
XP_004856625.1,ENSMUSP00000000171,67.62,76.51,0.2108,0.644,0.32737,Pih1d2
XP_004835932.1,ENSMUSP00000077219,79.08,85.64,0.113,0.3453,0.32733,Tank
XP_004837469.1,ENSMUSP00000114495,62.32,73.38,0.2639,0.8065,0.32723,Akap5
XP_004866829.1,ENSMUSP00000014058,66.06,75.81,0.2248,0.6874,0.32706,Klk10
XP_004853841.1,ENSMUSP00000029448,74.27,83.71,0.1483,0.4535,0.32689,Sycp1
XP_004864663.1,ENSMUSP00000049714,64.1,72.84,0.2634,0.8068,0.32652,Cxcr1
XP_004844521.1,ENSMUSP00000027241,62.59,72.38,0.2611,0.8001,0.32633,Il1r1
XP_004835137.1,ENSMUSP00000040221,64.99,72.13,0.2732,0.8379,0.32606,Fam198a
XP_004840302.1,ENSMUSP00000015816,71.12,77.54,0.1906,0.5846,0.32606,Mrpl32
XP_004853623.1,ENSMUSP00000129738,63.18,73.45,0.2678,0.8214,0.32599,Cenpf
XP_004858014.1,ENSMUSP00000115756,73.86,80.95,0.1608,0.4935,0.32589,St3gal6
XP_004863273.1,ENSMUSP00000064787,74.02,79.34,0.17,0.5222,0.32546,Map6
XP_004843404.1,ENSMUSP00000107978,63.64,72.33,0.2605,0.8004,0.32542,Hps4
XP_004834882.1,ENSMUSP00000023590,69.14,76.04,0.2089,0.6421,0.3254,Hrg
XP_004858808.1,ENSMUSP00000044665,70.22,77.19,0.2,0.615,0.32522,Crp
XP_004863571.1,ENSMUSP00000114029,72.94,78.59,0.1856,0.5707,0.32518,Olfml1
XP_004837591.1,ENSMUSP00000087744,65.84,71.78,0.2833,0.8712,0.32515,Efcab1
XP_004844730.1,ENSMUSP00000098812,70.91,76.32,0.2019,0.6215,0.32491,Ccdc142
XP_004863995.1,ENSMUSP00000099462,58.04,69.35,0.3129,0.9632,0.32485,Tnfrsf18
XP_004841621.1,ENSMUSP00000070209,68.16,76.34,0.211,0.6496,0.32475,Rpap2
XP_004835629.1,ENSMUSP00000021372,78,84.83,0.1221,0.3763,0.32455,Atp5s
XP_004848720.1,ENSMUSP00000074788,68.13,74.81,0.221,0.6815,0.32427,Pdzd2
XP_004856936.1,ENSMUSP00000035829,59.32,69.27,0.3378,1.042,0.32418,Akap12
XP_004834770.1,ENSMUSP00000023457,74.5,81.57,0.1505,0.4643,0.32406,Senp5
XP_004836202.1,ENSMUSP00000065205,70.45,78.12,0.1874,0.5784,0.32406,Pla2r1
XP_004860567.1,ENSMUSP00000031899,72.93,79.85,0.1641,0.5063,0.32406,Kel
XP_004858429.1,ENSMUSP00000046197,73.87,80.28,0.1712,0.5283,0.32404,Ccdc68
XP_004860365.1,ENSMUSP00000055369,65.32,72.58,0.2524,0.7792,0.32392,Ripply2
XP_004848644.1,ENSMUSP00000022749,60.92,69.79,0.2964,0.9152,0.32384,C9
XP_004840974.1,ENSMUSP00000105573,61.27,71.13,0.2926,0.9042,0.32364,Cst8
XP_004860542.1,ENSMUSP00000031879,74.73,79.41,0.171,0.5282,0.32364,Fam115c
XP_004856742.1,ENSMUSP00000034599,69.83,76.8,0.2048,0.6329,0.32363,Tmprss4
XP_004844646.1,ENSMUSP00000080743,73.75,79.89,0.1691,0.5229,0.32349,Ptcd3
XP_004838615.1,ENSMUSP00000025981,72.9,78.4,0.1774,0.5491,0.32315,Tctn3
XP_004857568.1,ENSMUSP00000061601,69.3,77.93,0.1934,0.5987,0.32298,Mfsd6l
XP_004848636.1,ENSMUSP00000106317,70.94,77.34,0.1947,0.6037,0.32254,C7
XP_004844587.1,ENSMUSP00000028881,72.18,80.83,0.1631,0.5059,0.32248,Il1b
XP_004855918.1,ENSMUSP00000113431,61.83,71.73,0.2728,0.846,0.32244,Rsl1d1
XP_004858880.1,ENSMUSP00000103760,59.98,70.19,0.2921,0.9064,0.32233,Cd22
XP_004834422.1,ENSMUSP00000034983,73.38,79.62,0.1731,0.5372,0.3223,Atp1b3
XP_004838518.1,ENSMUSP00000130491,71.96,79.41,0.1858,0.5767,0.32217,Cntln
XP_004834572.1,ENSMUSP00000058596,79.78,85.64,0.117,0.3632,0.32211,Mlf1
XP_004868572.1,ENSMUSP00000027507,64.79,73.24,0.2528,0.7851,0.32204,Pdcd1
XP_004860784.1,ENSMUSP00000021130,61.03,71.08,0.2853,0.8867,0.3218,Ten1
XP_004873781.1,ENSMUSP00000020528,70.23,74.25,0.2244,0.6985,0.32132,Mpg
XP_004855817.1,ENSMUSP00000058522,48.99,60.81,0.4423,1.3793,0.32068,Spesp1
XP_004846334.1,ENSMUSP00000022353,78.92,83.41,0.1263,0.3938,0.32058,Mss51
XP_004841366.1,ENSMUSP00000062528,68.9,74.85,0.2308,0.7205,0.32041,Gbp6
XP_004835542.1,ENSMUSP00000040416,54.85,65.55,0.3543,1.1064,0.32026,Dlgap5
XP_004842865.1,ENSMUSP00000034205,71.81,79.33,0.1737,0.5424,0.32018,Cenpn
XP_004871316.1,ENSMUSP00000133474,53.31,61.15,0.4368,1.3649,0.32002,Pear1
XP_004834887.1,ENSMUSP00000023583,65.22,72.85,0.2491,0.7783,0.31999,Ahsg
XP_004873943.1,ENSMUSP00000034133,71.89,76.85,0.1987,0.6212,0.31984,Mylk3
XP_004862558.1,ENSMUSP00000029925,70.35,78.1,0.1868,0.5845,0.31959,Ndufaf4
XP_004846458.1,ENSMUSP00000049380,65.82,73.54,0.2377,0.7441,0.3195,Gpr110
XP_004838945.1,ENSMUSP00000138290,65.98,73.5,0.2416,0.7563,0.31947,Dclre1a
XP_004847901.1,ENSMUSP00000054604,68.64,76.39,0.2081,0.6518,0.31935,Zkscan4
XP_004849708.1,ENSMUSP00000124534,71.56,77.57,0.1939,0.6074,0.31922,Tmprss11e
XP_004849113.1,ENSMUSP00000097809,54.58,62.21,0.4394,1.3787,0.31874,Ttf1
XP_004843382.1,ENSMUSP00000074537,69.72,76.53,0.2076,0.6518,0.31847,Vpreb1
XP_004921140.1,ENSMUSP00000094082,57.7,69.27,0.3089,0.9701,0.31847,Csf2rb
XP_004873613.1,ENSMUSP00000108340,76.36,82.11,0.1391,0.4367,0.31844,Apex2
XP_004845771.1,ENSMUSP00000130739,81.3,80.05,0.159,0.4998,0.3182,Rbfox2
XP_004867040.1,ENSMUSP00000033100,52,61.33,0.4341,1.3643,0.3182,Izumo1
XP_004839128.1,ENSMUSP00000036044,70.32,77.13,0.1963,0.6171,0.31808,Apob
XP_004875364.1,ENSMUSP00000001156,75.43,81.18,0.1511,0.4755,0.31785,Cfp
XP_004849740.1,ENSMUSP00000045948,74.05,78.77,0.1726,0.543,0.31779,Noa1
XP_004863597.1,ENSMUSP00000030336,60.14,69.97,0.2975,0.9362,0.31778,Tnfrsf1b
XP_004866843.1,ENSMUSP00000073392,57.69,67.05,0.3455,1.0879,0.3176,Klk1b24
XP_004921228.1,ENSMUSP00000022830,63.82,70.85,0.27,0.8503,0.31754,Ripk3
XP_004841554.1,ENSMUSP00000112019,64.16,71.1,0.273,0.8599,0.31752,Tctex1d1
XP_004855220.1,ENSMUSP00000113392,72.24,79.05,0.1754,0.5523,0.31752,Mro
XP_004851478.1,ENSMUSP00000033050,72.33,78.3,0.1799,0.5665,0.31749,Lyve1
XP_004857336.1,ENSMUSP00000021179,68.37,74.83,0.225,0.7087,0.31742,Vmo1
XP_004866447.1,ENSMUSP00000107530,75.91,80.23,0.156,0.4917,0.3173,Pprc1
XP_004852710.1,ENSMUSP00000130012,71.56,77,0.1925,0.6071,0.31712,Fan1
XP_004842460.1,ENSMUSP00000080085,62.86,71.81,0.2705,0.8538,0.31683,Rrp1b
XP_004853951.1,ENSMUSP00000088263,75.6,82.06,0.1454,0.459,0.31683,Acp6
XP_004869733.1,ENSMUSP00000032882,69.17,75.56,0.2078,0.6561,0.31677,Ndufc2
XP_004857400.1,ENSMUSP00000039500,80.1,84.63,0.117,0.3695,0.31666,Mis12
XP_004865497.1,ENSMUSP00000063957,64.86,71.17,0.2704,0.8539,0.31664,Mbd3l1
XP_004848397.1,ENSMUSP00000022663,21.89,37.03,1.1941,3.7714,0.31661,Tnfrsf10b
XP_004856701.1,ENSMUSP00000034588,59.09,73.23,0.2884,0.9113,0.31641,Apoa1
XP_004856685.1,ENSMUSP00000034527,67.86,75.22,0.2225,0.7038,0.3162,Nxpe2
XP_004861794.1,ENSMUSP00000092252,67.89,76.23,0.2162,0.6837,0.31617,Pla2g4d
XP_004859094.1,ENSMUSP00000096204,67.86,78.31,0.1881,0.5949,0.31609,Spint2
XP_004837058.1,ENSMUSP00000058535,66.83,74.6,0.2343,0.7412,0.31607,Serpina9
XP_004870849.1,ENSMUSP00000018765,72.04,78.28,0.1837,0.5814,0.31602,Mmp8
XP_004872142.1,ENSMUSP00000130929,72.64,77.04,0.1916,0.6067,0.31584,Nrg4
XP_004852416.1,ENSMUSP00000025844,65.41,73.42,0.2511,0.7954,0.31572,Ctsw
XP_004870457.1,ENSMUSP00000064547,75.15,81.64,0.1485,0.4706,0.31554,Pigw
XP_004847739.1,ENSMUSP00000021796,72.28,79.21,0.1747,0.5536,0.31551,Edn1
XP_004870646.1,ENSMUSP00000017694,69.87,78.63,0.1912,0.6065,0.31521,Atad5
XP_004858071.1,ENSMUSP00000104764,64.91,74.03,0.2349,0.746,0.31487,Cass4
XP_004835778.1,ENSMUSP00000125352,77.11,81.34,0.1467,0.4659,0.31477,Gtpbp8
XP_004862725.1,ENSMUSP00000072871,74.51,79.34,0.1687,0.5358,0.31476,Ncapd3
XP_004864435.1,ENSMUSP00000057915,76.03,81.15,0.1496,0.4753,0.31473,Nek4
XP_004856917.1,ENSMUSP00000019907,63.66,73.56,0.2434,0.7736,0.31465,Fbxo5
XP_004871279.1,ENSMUSP00000061571,59.13,67.6,0.3365,1.0696,0.31465,Ttc24
XP_004871782.1,ENSMUSP00000031226,74.69,80.81,0.1511,0.4801,0.31464,Ambn
XP_004843302.1,ENSMUSP00000023391,77.18,82.52,0.1357,0.4314,0.31454,Mrpl40
XP_004863577.1,ENSMUSP00000101375,63.88,71.09,0.2652,0.8439,0.31431,Aadacl3
XP_004862888.1,ENSMUSP00000128943,72.09,76.49,0.2082,0.6629,0.31411,Prg4
XP_004841893.1,ENSMUSP00000095224,67.35,74.01,0.2345,0.7473,0.31385,Prob1
XP_004857719.1,ENSMUSP00000107804,75.68,81.33,0.1505,0.4798,0.31368,Mettl8
XP_004849958.1,ENSMUSP00000040746,65.24,75.61,0.2178,0.6945,0.31359,Cd207
XP_004834634.1,ENSMUSP00000103896,62.69,72.04,0.2846,0.9078,0.31355,Gpr160
XP_004849877.1,ENSMUSP00000109367,70.78,78.09,0.1926,0.6145,0.31335,N4bp2
XP_004871918.1,ENSMUSP00000130167,80.25,84.62,0.1166,0.3721,0.31322,Mpl
XP_004864617.1,ENSMUSP00000027405,79.93,82.46,0.1309,0.4181,0.31311,Slc23a3
XP_004870214.1,ENSMUSP00000030180,75.57,81.06,0.1501,0.4795,0.3131,Sit1
XP_004868093.1,ENSMUSP00000079095,19.77,38.23,1.216,3.8864,0.3129,Sp140
XP_004868040.1,ENSMUSP00000084282,78,80.04,0.1586,0.507,0.31286,Col4a4
XP_004837258.1,ENSMUSP00000021668,73.15,78.75,0.1816,0.5807,0.31279,Npc2
XP_004850350.1,ENSMUSP00000054125,70.42,77.05,0.195,0.6235,0.3127,Fbxo43
XP_004875601.1,ENSMUSP00000027975,68.65,73.28,0.2409,0.7705,0.31264,Phyh
XP_004870609.1,ENSMUSP00000031249,67.91,75.34,0.2359,0.7546,0.3126,Sparcl1
XP_004838069.1,ENSMUSP00000041006,64.13,73.17,0.2395,0.7675,0.31212,Afp
XP_004869712.1,ENSMUSP00000026480,71.55,76.64,0.2053,0.6578,0.31207,Ttc4
XP_004851251.1,ENSMUSP00000027171,74.85,81.83,0.146,0.4683,0.31176,Carf
XP_004854423.1,ENSMUSP00000066214,65.23,74.7,0.2448,0.7857,0.31156,Spink5
XP_004846665.1,ENSMUSP00000024792,61.97,71.48,0.2698,0.8661,0.31155,Treml1
XP_004849550.1,ENSMUSP00000050144,67.86,77.65,0.1927,0.6189,0.31139,Tnfsf15
XP_004844527.1,ENSMUSP00000103679,62.8,72.15,0.2596,0.8341,0.31123,Il18r1
XP_004848417.1,ENSMUSP00000106724,71.11,78.89,0.175,0.5622,0.31123,Gnrh1
XP_004862950.1,ENSMUSP00000130532,67.86,78.37,0.1959,0.6298,0.31111,Ndufaf2
XP_004835982.1,ENSMUSP00000108235,73.63,80.05,0.1635,0.5256,0.31106,Galnt5
XP_004870692.1,ENSMUSP00000018988,63.86,74.97,0.2293,0.7374,0.31096,Fndc8
XP_004870087.1,ENSMUSP00000108313,70.6,78.36,0.1934,0.6221,0.31089,Rif1
XP_004851122.1,ENSMUSP00000030526,74.76,83.02,0.1489,0.479,0.31085,Pla2g2f
XP_004857284.1,ENSMUSP00000006101,72.81,78.69,0.1792,0.577,0.31052,Itgae
XP_004860187.1,ENSMUSP00000060769,72.58,79.25,0.1691,0.5448,0.31046,Crb1
XP_004842444.1,ENSMUSP00000112801,69.33,77.23,0.1971,0.6351,0.31035,Ttc3
XP_004841657.1,ENSMUSP00000022217,66.32,75.42,0.218,0.7026,0.31032,Zfyve16
XP_004873245.1,ENSMUSP00000044653,57.58,65.99,0.3519,1.1343,0.31018,Cd3eap
XP_004858717.1,ENSMUSP00000005820,70.51,78.84,0.1794,0.5786,0.31008,Nr1i3
XP_004835236.1,ENSMUSP00000093819,76.59,80.29,0.1533,0.4952,0.30962,Pigx
XP_004846338.1,ENSMUSP00000036214,79.52,84.34,0.1166,0.3766,0.30962,Usp54
XP_004858244.1,ENSMUSP00000017851,76.69,82.27,0.141,0.456,0.3093,Serinc3
XP_004853970.1,ENSMUSP00000029742,68.42,74.56,0.2258,0.7303,0.30925,Nudt17
XP_004838619.1,ENSMUSP00000107850,76.62,80.94,0.1539,0.4982,0.309,Entpd1
XP_004862931.1,ENSMUSP00000022227,75.09,83.64,0.1403,0.4543,0.30877,Cenpk
XP_004850805.1,ENSMUSP00000064282,67.31,76.6,0.2121,0.6874,0.30861,Atpif1
XP_004837930.1,ENSMUSP00000023265,65.85,77.24,0.2056,0.6666,0.3085,Psca
XP_004864174.1,ENSMUSP00000007735,77.94,83.39,0.1377,0.4464,0.30838,Tssk4
XP_004861135.1,ENSMUSP00000041883,66.87,74.16,0.2358,0.7649,0.3083,Tspan10
XP_004853413.1,ENSMUSP00000137298,76.76,81.99,0.1406,0.4562,0.30829,Tdrd5
XP_004855967.1,ENSMUSP00000033180,70.63,78.32,0.184,0.5971,0.30822,Vwa3a
XP_004844122.1,ENSMUSP00000074708,51.05,65.82,0.3874,1.2572,0.30814,Osm
XP_004866697.1,ENSMUSP00000052126,70.95,74.81,0.2162,0.7018,0.30805,Ssc5d
XP_004855465.1,ENSMUSP00000073546,74.26,76.59,0.1982,0.6433,0.30803,Nrg1
XP_004866167.1,ENSMUSP00000107899,78.83,84.83,0.1153,0.3743,0.30795,Tmem27
XP_004860233.1,ENSMUSP00000131647,66.55,73.02,0.2467,0.8021,0.30753,Rsph4a
XP_004871891.1,ENSMUSP00000123426,73.73,79.31,0.1664,0.541,0.30749,Ermap
XP_004835731.1,ENSMUSP00000023487,74.65,79.73,0.1623,0.5283,0.30724,Arhgap31
XP_004843873.1,ENSMUSP00000036177,63.91,72.85,0.2417,0.7875,0.30688,Rad9b
XP_004848602.1,ENSMUSP00000022245,76.57,80.51,0.1531,0.4992,0.30674,Mrps30
XP_004838528.1,ENSMUSP00000030125,77.85,82.7,0.133,0.4338,0.30673,Bag1
XP_004870591.1,ENSMUSP00000031263,67.47,75.72,0.2126,0.6935,0.30659,Slc10a6
XP_004845317.1,ENSMUSP00000022059,65.1,72.87,0.2417,0.7888,0.30643,Ahrr
XP_004836055.1,ENSMUSP00000054748,65.41,73.36,0.2367,0.7728,0.30632,Amer3
XP_004851374.1,ENSMUSP00000045740,72.61,78.87,0.173,0.5654,0.30601,Secisbp2
XP_004861741.1,ENSMUSP00000125987,81.15,85.11,0.111,0.3627,0.30595,Zscan29
XP_004871576.1,ENSMUSP00000113811,81.18,87.06,0.0968,0.3165,0.30589,Chchd7
XP_004843868.1,ENSMUSP00000107367,70.56,76.09,0.1987,0.65,0.30573,Tctn1
XP_004870308.1,ENSMUSP00000018577,76.08,80.98,0.1507,0.4932,0.30556,Nol11
XP_004842607.1,ENSMUSP00000045647,59.62,68.59,0.3114,1.0192,0.30553,Ybey
XP_004921275.1,ENSMUSP00000096898,63.26,68.96,0.2895,0.9477,0.30548,Poc5
XP_004855793.1,ENSMUSP00000074063,73.22,77.63,0.1863,0.6102,0.30538,Aqp9
XP_004833994.1,ENSMUSP00000026737,74.57,79.17,0.169,0.5534,0.30531,Shisa5
XP_004842078.1,ENSMUSP00000126219,71.05,78.51,0.1947,0.6376,0.30531,Il7
XP_004858718.1,ENSMUSP00000106953,60.4,69.64,0.3227,1.0569,0.30531,Apoa2
XP_004868694.1,ENSMUSP00000001055,64,73.33,0.246,0.8058,0.30527,Icam2
XP_004852400.1,ENSMUSP00000025764,69.13,78.97,0.1873,0.6139,0.30518,Cst6
XP_004921230.1,ENSMUSP00000037406,79.13,83.46,0.1269,0.4159,0.30516,Ttll4
XP_004852849.1,ENSMUSP00000113444,64.36,73.93,0.2274,0.7453,0.30507,Ngrn
XP_004868691.1,ENSMUSP00000129029,67.54,75.44,0.2239,0.7348,0.30477,Cd79b
XP_004838533.1,ENSMUSP00000053270,73.55,80.02,0.1644,0.5395,0.30471,Lipa
XP_004870822.1,ENSMUSP00000014389,77.78,82.01,0.1415,0.4643,0.30471,Pigl
XP_004854850.1,ENSMUSP00000082694,69.78,76.05,0.2042,0.6701,0.30469,Mtus2
XP_004851311.1,ENSMUSP00000031850,58.3,67.99,0.3131,1.0284,0.30449,Zc3hav1
XP_004855891.1,ENSMUSP00000033267,68.27,77.59,0.1967,0.6461,0.3044,Pdilt
XP_004857288.1,ENSMUSP00000006104,70.84,78.47,0.1885,0.6198,0.30407,P2rx5
XP_004853538.1,ENSMUSP00000027768,72.36,79.51,0.1706,0.5611,0.30401,Ahctf1
XP_004872063.1,ENSMUSP00000045402,82.16,85.85,0.1041,0.3426,0.30399,Ppp1r3f
XP_004860995.1,ENSMUSP00000036860,57.86,67.09,0.3324,1.0953,0.30348,Oxld1
XP_004845318.1,ENSMUSP00000037788,66.12,74.38,0.2254,0.7433,0.30328,Cep72
XP_004852715.1,ENSMUSP00000047855,76.7,79.92,0.1605,0.5292,0.30321,Mcee
XP_004857271.1,ENSMUSP00000006105,80.44,82.83,0.1313,0.4331,0.3032,Shpk
XP_004847253.1,ENSMUSP00000031081,78.68,83.72,0.1245,0.4106,0.30319,Pi4k2b
XP_004843098.1,ENSMUSP00000014927,76.12,80.03,0.1589,0.5245,0.30302,Plekhg4
XP_004837633.1,ENSMUSP00000086017,80.04,82.3,0.1347,0.4446,0.30301,Wnk1
XP_004867090.1,ENSMUSP00000104164,59.48,68.65,0.312,1.03,0.30295,Sult2a7
XP_004875395.1,ENSMUSP00000047284,76.63,81.87,0.1402,0.4628,0.3029,Tespa1
XP_004847082.1,ENSMUSP00000133428,10.81,28.99,2.0978,6.9267,0.30286,Ddx39b
XP_004860108.1,ENSMUSP00000110608,78.8,83.05,0.1288,0.4253,0.30275,Elf4
XP_004851402.1,ENSMUSP00000099891,60.8,71.19,0.2692,0.8894,0.30272,Icos
XP_004855435.1,ENSMUSP00000058042,68.05,74.26,0.226,0.7469,0.30263,Rab11fip1
XP_004867224.1,ENSMUSP00000060237,56.89,68.15,0.3572,1.1808,0.30251,Tmem86b
XP_004856391.1,ENSMUSP00000031798,62.82,73.36,0.2378,0.786,0.30249,Ssmem1
XP_004873181.1,ENSMUSP00000039205,43.5,56.92,0.5329,1.7616,0.30249,Pvr
XP_004874490.1,ENSMUSP00000025929,64.85,70.46,0.2851,0.943,0.30237,Hrasls5
XP_004869295.1,ENSMUSP00000060463,67.2,78.48,0.1949,0.6448,0.30232,Fam159a
XP_004865637.1,ENSMUSP00000060331,62.75,68.42,0.295,0.9764,0.30217,Swsap1
XP_004862850.1,ENSMUSP00000115822,74.07,78.99,0.1747,0.5781,0.30212,Fam129a
XP_004849889.1,ENSMUSP00000031175,69.78,75.86,0.2065,0.6836,0.30203,Tmprss11d
XP_004861735.1,ENSMUSP00000106302,75.29,79.73,0.1558,0.516,0.30202,Lcmt2
XP_004849307.1,ENSMUSP00000108960,69.18,75.79,0.2162,0.7164,0.30183,Ciz1
XP_004846828.1,ENSMUSP00000112778,77.34,81.26,0.1399,0.4637,0.30169,Zbtb9
XP_004844765.1,ENSMUSP00000014698,70.44,78.22,0.1826,0.6054,0.30156,Dguok
XP_004857690.1,ENSMUSP00000072896,68.76,75.79,0.2095,0.6947,0.30154,Fastkd1
XP_004872993.1,ENSMUSP00000030456,79.95,83.94,0.1309,0.4343,0.30139,Nasp
XP_004865351.1,ENSMUSP00000058110,72.45,78.85,0.1746,0.5794,0.30127,Vwde
XP_004855886.1,ENSMUSP00000033255,67.11,73.32,0.2388,0.793,0.30116,Gp2
XP_004834113.1,ENSMUSP00000040433,77.3,80.85,0.1455,0.4831,0.3011,Fam212a
XP_004846646.1,ENSMUSP00000108925,48.7,58.94,0.5023,1.6687,0.30099,Prickle4
XP_004855049.1,ENSMUSP00000096705,75.51,78.46,0.1716,0.5703,0.30094,Mgst2
XP_004845123.1,ENSMUSP00000063107,67.59,75.61,0.2132,0.7087,0.30084,Bpifc
XP_004856753.1,ENSMUSP00000099896,69.19,75.86,0.209,0.6956,0.30039,Cd3e
XP_004858856.1,ENSMUSP00000047778,65.82,72.69,0.2422,0.8068,0.30021,Nudt19
XP_004854561.1,ENSMUSP00000058887,77.2,81.79,0.1398,0.4659,0.30016,Gpr151
XP_004835889.1,ENSMUSP00000023330,70.22,76.33,0.2022,0.6744,0.29984,Morc1
XP_004849704.1,ENSMUSP00000030069,82.42,84.65,0.1129,0.3766,0.29974,Ptgr1
XP_004853241.1,ENSMUSP00000127142,73.19,79.5,0.1665,0.5558,0.29959,Mettl4
XP_004846273.1,ENSMUSP00000036422,70.2,76.31,0.1998,0.6673,0.29948,Tbata
XP_004858297.1,ENSMUSP00000029213,68.47,73.63,0.2398,0.8006,0.29944,Ocstamp
XP_004857195.1,ENSMUSP00000044248,68.08,75.48,0.2167,0.7237,0.29943,Scarf1
XP_004858512.1,ENSMUSP00000027566,68.3,76.63,0.2001,0.6689,0.2992,Serpinb11
XP_004852758.1,ENSMUSP00000032774,69.06,76.61,0.2027,0.6774,0.29919,Ttc23
XP_004839785.1,ENSMUSP00000058333,67.2,74.25,0.2218,0.7416,0.29903,Fam185a
XP_004861775.1,ENSMUSP00000037543,74.66,79.41,0.1629,0.5448,0.29903,Spg11
XP_004853656.1,ENSMUSP00000054829,77.97,81.77,0.1395,0.4667,0.29898,Henmt1
XP_004839616.1,ENSMUSP00000031840,71.33,77.76,0.1854,0.6202,0.29891,Gpnmb
XP_004858868.1,ENSMUSP00000019697,72.7,78.14,0.1938,0.6486,0.29884,Haus5
